id,fac_name,un_name
453,العمارة والتخطيط البيئي,كلية الإمارات للعلوم والتكنولوجيا ـ الخرطوم
454,علـوم الحاسـوب,كلية الإمارات للعلوم والتكنولوجيا ـ الخرطوم
455,تقانة المعلومات,كلية الإمارات للعلوم والتكنولوجيا ـ الخرطوم
456,العلوم الإدارية - (المحاسبة - إدارة الأعمال),كلية الإمارات للعلوم والتكنولوجيا ـ الخرطوم
457,الإقتصاد والعلوم المصرفية,كلية الإمارات للعلوم والتكنولوجيا ـ الخرطوم
458,نظم المعلومات - ( نظم - المحاسبية – الإدارية – المصرفية ),كلية الإمارات للعلوم والتكنولوجيا ـ الخرطوم
459,اللغة الإنجليزية وآدابها,كلية الإمارات للعلوم والتكنولوجيا ـ الخرطوم
460,الإقتصاد والتنمية الريفية,كلية الامير عثمان دقنة -بورتسودان
461,الهندسة الكهربائية والإلكترونية,الكلية الاردنية السودانية للعلوم والتكنولوجيا-الخر
462,علوم الحاسوب,الكلية الاردنية السودانية للعلوم والتكنولوجيا-الخر
463,هندسة البرمجيات,الكلية الاردنية السودانية للعلوم والتكنولوجيا-الخر
464,تقانة المعلومات,الكلية الاردنية السودانية للعلوم والتكنولوجيا-الخر
465,نظم المعلومات المالية والإدارية والمصرفية,الكلية الاردنية السودانية للعلوم والتكنولوجيا-الخر
466,الدراسات الإسلامية,الكلية الاردنية السودانية للعلوم والتكنولوجيا-الخر
467,القانون,الكلية الاردنية السودانية للعلوم والتكنولوجيا-الخر
468,علوم التمريض,كلية كمبونى  للعلوم والتكنولوجيا- الخرطوم
469,علوم الحاسوب,كلية كمبونى  للعلوم والتكنولوجيا- الخرطوم
470,تقانة المعلومات,كلية كمبونى  للعلوم والتكنولوجيا- الخرطوم
471,اللغة الإنجليزية,كلية كمبونى  للعلوم والتكنولوجيا- الخرطوم
472,العلوم التربوية الدينية (المسيحية ),كلية كمبونى  للعلوم والتكنولوجيا- الخرطوم
473,التربية ( الحاسوب والتقنية ),كلية كمبونى  للعلوم والتكنولوجيا- الخرطوم
474,التربيـة اللغة الإنجليزيـة,كلية كمبونى  للعلوم والتكنولوجيا- الخرطوم
475,الطب,اكاديمية المنهل للعلوم - الخرطوم بحرى
476,طب الأسنان,اكاديمية المنهل للعلوم - الخرطوم بحرى
477,الصيدلة,اكاديمية المنهل للعلوم - الخرطوم بحرى
478,علوم المختبرات الطبية,اكاديمية المنهل للعلوم - الخرطوم بحرى
479,علوم التمريض,اكاديمية المنهل للعلوم - الخرطوم بحرى
480,الهندسة المدنية,اكاديمية المنهل للعلوم - الخرطوم بحرى
481,هندسة القدرة والتحكم,اكاديمية المنهل للعلوم - الخرطوم بحرى
482,هندسة النظم الألكترونية (حاسوب – اتصالات),اكاديمية المنهل للعلوم - الخرطوم بحرى
483,تقنية المعلومات,اكاديمية المنهل للعلوم - الخرطوم بحرى
484,نظم المعلومات الإدارية,اكاديمية المنهل للعلوم - الخرطوم بحرى
485,الإقتصاد ( إقتصاد – مصارف – تجارة خارجية ),اكاديمية المنهل للعلوم - الخرطوم بحرى
486,العلوم الإدارية,اكاديمية المنهل للعلوم - الخرطوم بحرى
487,القانون,اكاديمية المنهل للعلوم - الخرطوم بحرى
488,الطب والجراحة,كلية الامام الهادى - ام درمان
489,طب الأسنان,كلية الامام الهادى - ام درمان
490,علوم المختبرات الطبية,كلية الامام الهادى - ام درمان
491,علوم التمريض,كلية الامام الهادى - ام درمان
492,الهندسة الكهربائية,كلية الامام الهادى - ام درمان
493,الهندسة الطبية,كلية الامام الهادى - ام درمان
494,الطب البيطري,كلية الامام الهادى - ام درمان
495,التغذية العلاجية,كلية الامام الهادى - ام درمان
496,علوم الحاسوب,كلية الامام الهادى - ام درمان
497,تقانة المعلومات,كلية الامام الهادى - ام درمان
498,الآداب,كلية الامام الهادى - ام درمان
499,العلوم  الإداريه,كلية الامام الهادى - ام درمان
500,الإقتصاد والدراسات المصرفية والمالية,كلية الامام الهادى - ام درمان
501,الشريعة والقانون,كلية الامام الهادى - ام درمان
502,السياحه والفندقة,كلية الامام الهادى - ام درمان
503,الإعلام,كلية الامام الهادى - ام درمان
504,علم النفس ورياض الأطفال,كلية الامام الهادى - ام درمان
505,اللغة الإنجليزية,كلية الامام الهادى - ام درمان
506,التربية – دراسات إسلامية,كلية الامام الهادى - ام درمان
507,التربية – لغة عربية,كلية الامام الهادى - ام درمان
508,الطب,كلية العلوم الهندسية والطبية - الخرطوم
509,المختبرات الطبية,كلية العلوم الهندسية والطبية - الخرطوم
510,علوم التمريض,كلية العلوم الهندسية والطبية - الخرطوم
511,العمارة والتخطيط,كلية العلوم الهندسية والطبية - الخرطوم
512,هندسة التحكم والقياس,كلية العلوم الهندسية والطبية - الخرطوم
513,هندسة الطاقة,كلية العلوم الهندسية والطبية - الخرطوم
514,هندسة الاتصالات,كلية العلوم الهندسية والطبية - الخرطوم
515,هندسة الحاسوب والإلكترونيات,كلية العلوم الهندسية والطبية - الخرطوم
516,هندسة الميكاترونكس,كلية العلوم الهندسية والطبية - الخرطوم
517,الهندسة الطبية,كلية العلوم الهندسية والطبية - الخرطوم
518,الرياضيات وعلوم الحاسوب,كلية العلوم الهندسية والطبية - الخرطوم
519,تقانة المعلومات,كلية العلوم الهندسية والطبية - الخرطوم
520,العلوم الإدارية,كلية العلوم الهندسية والطبية - الخرطوم
521,الطب,الكلية الكندية السودانية- الخرطوم
522,علوم المختبرات الطبية,الكلية الكندية السودانية- الخرطوم
523,علوم التمريض,الكلية الكندية السودانية- الخرطوم
524,نظم المعلومات – ( المحوسبة– الإدارية ),الكلية الكندية السودانية- الخرطوم
525,إدارة الأعمال - (إدارة الأعمال- التسويق),الكلية الكندية السودانية- الخرطوم
526,تقنية المعلومات,الكلية الكندية السودانية- الخرطوم
527,أصول الدين والدراسات الإسلامية,كلية جبرة العلمية- الخرطوم
528,القرآن الكريم والدراسات الإسلامية,كلية جبرة العلمية- الخرطوم
529,العقيدة والدراسات الإسلامية,كلية جبرة العلمية- الخرطوم
530,الدراسات الإسلامية واللغة العربية,كلية جبرة العلمية- الخرطوم
531,التربية الدراسات الإسلامية,كلية جبرة العلمية- الخرطوم
532,اللغات – ( الانجليزية - الفرنسية ),كلية السلام للغات والترجمة- الخرطوم
533,العلوم الإدارية,كلية السلام للغات والترجمة- الخرطوم
534,علوم المختبرات الطبية,كلية غرب النيل امدرمان
535,العلوم الإدارية,كلية غرب النيل امدرمان
536,علم النفس,كلية غرب النيل امدرمان
537,الإعلام والعلاقات العامة,كلية غرب النيل امدرمان
538,تقانة المعلومات,كلية غرب النيل امدرمان
539,المختبرات الطبية,كلية الجزيرة التقنية - الخرطوم
540,علوم التمريض,كلية الجزيرة التقنية - الخرطوم
541,الأشعة الطبية,كلية الجزيرة التقنية - الخرطوم
542,الصحة العامة وصحة البيئة,كلية الجزيرة التقنية - الخرطوم
543,العلاج الطبيعى,كلية الجزيرة التقنية - الخرطوم
544,العمارة,كلية الجزيرة التقنية - الخرطوم
545,الهندسة الكهربائية والإلكترونية,كلية الجزيرة التقنية - الخرطوم
546,الهندسة الطبية,كلية الجزيرة التقنية - الخرطوم
547,علوم الحاسوب,كلية الجزيرة التقنية - الخرطوم
548,تقنية المعلومات,كلية الجزيرة التقنية - الخرطوم
549,العلوم الإدارية,كلية الجزيرة التقنية - الخرطوم
550,العلوم الإقتصادية,كلية الجزيرة التقنية - الخرطوم
551,اللغة الإنجليزية,كلية الجزيرة التقنية - الخرطوم
552,تقانة المعلومات,كلية امدرمان لتكنولوجيا الصحافة و الطباعة
553,العلوم الإدارية,كلية امدرمان لتكنولوجيا الصحافة و الطباعة
554,تكنولوجيا الصحافة,كلية امدرمان لتكنولوجيا الصحافة و الطباعة
555,تكنولوجيا الطباعة,كلية امدرمان لتكنولوجيا الصحافة و الطباعة
556,الطب البشرى,كلية اليرموك
557,طب الأسنان,كلية اليرموك
558,الصيدلة,كلية اليرموك
559,المختبرات الطبية,كلية اليرموك
560,علوم المختبرات الطبية,كلية الكاملين للعلوم والتقانة - الكاملين
561,علوم التمريض,كلية الكاملين للعلوم والتقانة - الكاملين
562,العلوم الإدارية ( المحاسبة – إدارة الأعمال),كلية الكاملين للعلوم والتقانة - الكاملين
563,الإقتصاد (الإقتصاد – البنوك والتمويل),كلية الكاملين للعلوم والتقانة - الكاملين
564,تقانة المعلومات,كلية الكاملين للعلوم والتقانة - الكاملين
565,اللغة الإنجليزية وآدابها,كلية الكاملين للعلوم والتقانة - الكاملين
566,علوم التمريض,كلية العلوم التنموية والتكنولوجية
567,علوم الحاسوب,كلية العلوم التنموية والتكنولوجية
568,نظم الحاسوب والشبكات,كلية العلوم التنموية والتكنولوجية
569,الإقتصاد,كلية العلوم التنموية والتكنولوجية
570,العلوم الإدارية,كلية العلوم التنموية والتكنولوجية
571,تقنية المعلومات,كلية العلوم التنموية والتكنولوجية
572,إدارة المنظمات,كلية العلوم التنموية والتكنولوجية
573,الطب والجراحة,كلية إقرأ للعلوم والتكنولوجيا
574,طب الأسنان,كلية إقرأ للعلوم والتكنولوجيا
575,الصيدلة,كلية إقرأ للعلوم والتكنولوجيا
576,المختبرات الطبية,كلية إقرأ للعلوم والتكنولوجيا
577,التمريض,كلية إقرأ للعلوم والتكنولوجيا
578,الإقتصاد والدراسات المصرفية,كلية إقرأ للعلوم والتكنولوجيا
579,العلوم الإدارية,كلية إقرأ للعلوم والتكنولوجيا
580,الدراسات الإسلامية,كلية إقرأ للعلوم والتكنولوجيا
581,الطب والجراحة,كلية بحرى الاهلية
582,علوم المختبرات الطبية,كلية بحرى الاهلية
583,علوم التمريض,كلية بحرى الاهلية
584,هندسة العماره,كلية بحرى الاهلية
585,الهندسة الإلكترونية,كلية بحرى الاهلية
586,الهندسة الكهربائية,كلية بحرى الاهلية
587,الهندسة المدنية,كلية بحرى الاهلية
588,الهندسة الطبية,كلية بحرى الاهلية
589,تقنية المعلومات,كلية بحرى الاهلية
590,العلوم الإدارية (المحاسبة - ادارة الأعمال - التسويق ),كلية بحرى الاهلية
591,اللغات – (العربية– الإنجليزية – الصينية ),كلية بحرى الاهلية
592,التصميم الداخلى,كلية بحرى الاهلية
593,الإقتصاد,
594,القانون,
595,بكالوريوس تعليم اللغة العربية لغير الناطقين بها,معهد الخرطوم الدولى للغة العربية
596,البكالوريوس العام فى اللغة العربية للناطقين بغيرها,معهد الخرطوم الدولى للغة العربية
597,الصحة العامة,كلية النور للعلوم والتكنولوجيا
598,هندسة النظم الإلكترونية,كلية النور للعلوم والتكنولوجيا
599,الهندسة الطبية الحيوية,كلية النور للعلوم والتكنولوجيا
600,العلوم الإدارية,كلية النور للعلوم والتكنولوجيا
601,العلوم الإقتصادية,كلية النور للعلوم والتكنولوجيا
602,اللغة الإنجليزية,كلية النور للعلوم والتكنولوجيا
603,تقانة المعلومات,كلية النور للعلوم والتكنولوجيا
604,الطب,كلية دلتا العلوم والتكنولوجيا - امدرمان
605,علوم المختبرات الطبية,كلية دلتا العلوم والتكنولوجيا - امدرمان
606,علوم التمريض,كلية دلتا العلوم والتكنولوجيا - امدرمان
607,العلاج الطبيعى,كلية دلتا العلوم والتكنولوجيا - امدرمان
608,القبالة,كلية دلتا العلوم والتكنولوجيا - امدرمان
609,الهندسة الطبية,كلية دلتا العلوم والتكنولوجيا - امدرمان
610,الدراسات الإسلامية,كلية دلتا العلوم والتكنولوجيا - امدرمان
611,العلوم الإدارية,كلية دلتا العلوم والتكنولوجيا - امدرمان
612,تقنية المعلومات,كلية دلتا العلوم والتكنولوجيا - امدرمان
613,الشريعة والقانون,كلية دلتا العلوم والتكنولوجيا - امدرمان
614,الآداب – اللغة العربية للناطقين بغيرها,كلية دلتا العلوم والتكنولوجيا - امدرمان
615,الطب والجراحة,  كلية ستارز للعلوم الطبية والتقنية ـ الخرطوم
616,المختبرات الطبية,  كلية ستارز للعلوم الطبية والتقنية ـ الخرطوم
617,علوم التمريض,  كلية ستارز للعلوم الطبية والتقنية ـ الخرطوم
618,الفندقـة والسياحــة,  كلية ستارز للعلوم الطبية والتقنية ـ الخرطوم
619,تقانة المعلومات,  كلية ستارز للعلوم الطبية والتقنية ـ الخرطوم
620,العلوم الإدارية,  كلية ستارز للعلوم الطبية والتقنية ـ الخرطوم
621,الإعــــــــلام,  كلية ستارز للعلوم الطبية والتقنية ـ الخرطوم
622,اللغـة الإنجليزيــة,  كلية ستارز للعلوم الطبية والتقنية ـ الخرطوم
623,الطب والجراحة,كلية الحكمة للعلوم والتكنولوجيا
624,التمريض,كلية الحكمة للعلوم والتكنولوجيا
625,هندسة العماره,كلية الحكمة للعلوم والتكنولوجيا
626,الهندسة المدنية,كلية الحكمة للعلوم والتكنولوجيا
627,الهندسة الكهربائية والإلكترونيات,كلية الحكمة للعلوم والتكنولوجيا
628,نظم المعلومات الإدارية والمحاسبية,كلية الحكمة للعلوم والتكنولوجيا
629,الهندسة الميكانيكية (قدرة – تصنيع),كلية المنارة الجامعية
630,الهندسة الكهربائية (تحكم – قدرة),كلية المنارة الجامعية
631,تقانة المعلومات,كلية المنارة الجامعية
632,العلوم الادارية ( المحاسبة والتمويل - إدارة الأعمال ),كلية المنارة الجامعية
633,الطب البشرى,كلية النهضة
634,طب الأسنان,كلية النهضة
635,الصيدلة,كلية النهضة
636,المختبرات الطبية,كلية النهضة
637,التمريض,كلية النهضة
638,التصوير الطبى التشخيصى,كلية النهضة
639,هندسة التحكم,كلية النهضة
640,هندسة الاتصالات,كلية النهضة
641,هندسة الحاسوب,كلية النهضة
642,الهندسة الطبية الحيوية,كلية النهضة
643,العلوم الإدارية,كلية النهضة
644,تقانة المعلومات,كلية النهضة
645,اللغـة الإنجليزيــة,كلية النهضة
646,الهندسة المدنية,كلية كامبردج العالمية - الخرطوم بحرى
647,الهندسة الكهربائية (قدرة وتحكم – اتصالات),كلية كامبردج العالمية - الخرطوم بحرى
648,تقنية المعلومات,كلية كامبردج العالمية - الخرطوم بحرى
649,العلوم الإدارية (المحاسبة - إدارة الأعمال ),كلية كامبردج العالمية - الخرطوم بحرى
650,اللغة الإنجليزية وآدابها,كلية كامبردج العالمية - الخرطوم بحرى
651,الطب والجراحة,كلية الصفوة للعلوم والتقانة
652,علوم المختبرات الطبية,كلية الصفوة للعلوم والتقانة
653,التمريض,كلية الصفوة للعلوم والتقانة
654,هندسة الاتصالات,كلية الصفوة للعلوم والتقانة
655,الجمارك,كلية الصفوة للعلوم والتقانة
656,إدارة الأعمال,كلية الصفوة للعلوم والتقانة
657,تقنية المعلومات,كلية الصفوة للعلوم والتقانة
658,إدارة المنظمات الدولية والدبلوماسية,كلية الصفوة للعلوم والتقانة
659,الطب والجراحة, كلية السلامة للعلوم والتكنولوجيا – بحرى
660,المختبرات الطبية, كلية السلامة للعلوم والتكنولوجيا – بحرى
661,علوم التمريض, كلية السلامة للعلوم والتكنولوجيا – بحرى
662,هندسة العمارة, كلية السلامة للعلوم والتكنولوجيا – بحرى
663,الهندسة الميكانيكية (انتاج – قدرة), كلية السلامة للعلوم والتكنولوجيا – بحرى
664,الهندسة الكهربائية ( تحكم– طاقة), كلية السلامة للعلوم والتكنولوجيا – بحرى
665,الهندسة المدنية, كلية السلامة للعلوم والتكنولوجيا – بحرى
666,الهندسة الطبية, كلية السلامة للعلوم والتكنولوجيا – بحرى
667,تقانة المعلومات, كلية السلامة للعلوم والتكنولوجيا – بحرى
668,القانون, كلية السلامة للعلوم والتكنولوجيا – بحرى
669,العلوم الإدارية, كلية السلامة للعلوم والتكنولوجيا – بحرى
670,علوم الحاسوب,كلية الريادة لعلوم إدارة الأعمال والتكنولوجيا
671,تقنية المعلومات,كلية الريادة لعلوم إدارة الأعمال والتكنولوجيا
672,نظم المعلومات,كلية الريادة لعلوم إدارة الأعمال والتكنولوجيا
673,علوم إدارة الأعمال,كلية الريادة لعلوم إدارة الأعمال والتكنولوجيا
674,العلوم الإقتصادية,كلية الريادة لعلوم إدارة الأعمال والتكنولوجيا
675,الطب,كلية الأفق للعلوم والتكنولوجيا
676,علوم المختبرات الطبية,كلية الأفق للعلوم والتكنولوجيا
677,علوم التمريض,كلية الأفق للعلوم والتكنولوجيا
678,العلاج الطبيعى,كلية الأفق للعلوم والتكنولوجيا
679,تقنية المعلومات,كلية الأفق للعلوم والتكنولوجيا
680,العلوم الإدارية,كلية الأفق للعلوم والتكنولوجيا
681,الإقتصاد والعلوم المالية,كلية الأفق للعلوم والتكنولوجيا
682,اللغة الإنجليزية وآدابها,كلية الأفق للعلوم والتكنولوجيا
683,الطب والجراحة,كلية العلوم الجمركية والطبية والتكنولوجيا - الخرطوم
684,طب الأسنان,كلية العلوم الجمركية والطبية والتكنولوجيا - الخرطوم
685,علوم المختبرات الطبية,كلية العلوم الجمركية والطبية والتكنولوجيا - الخرطوم
686,الإشعة,كلية العلوم الجمركية والطبية والتكنولوجيا - الخرطوم
687,علوم التمريض,كلية العلوم الجمركية والطبية والتكنولوجيا - الخرطوم
688,تقنية المعلومات,كلية العلوم الجمركية والطبية والتكنولوجيا - الخرطوم
689,العلوم الجمركية,كلية العلوم الجمركية والطبية والتكنولوجيا - الخرطوم
690,الإقتصاد والتجارة الدولية,كلية العلوم الجمركية والطبية والتكنولوجيا - الخرطوم
691,العلوم الإدارية,كلية العلوم الجمركية والطبية والتكنولوجيا - الخرطوم
692,العلوم الإدارية,كلية الخرطوم للطيران والتكنولوجيا - الخرطوم
693,علوم البصريات,كلية مكة التقنية لطب العيون - الخرطوم
694,مساعد طب العيون,كلية مكة التقنية لطب العيون - الخرطوم
695,تقانى العيون,كلية مكة التقنية لطب العيون - الخرطوم
696,هندسة ميكانيكا الطيران,كلية صافات للعلوم والتقانة - الخرطوم
697,الهندسـة المـدنية,كلية صافات للعلوم والتقانة - الخرطوم
698,تقانة المعلومات,كلية صافات للعلوم والتقانة - الخرطوم
699,العلوم الإدارية,كلية صافات للعلوم والتقانة - الخرطوم
700,هندسة العمارة,الكلية السودانية للعلوم والتكنولوجيا – ام درمان
701,تقانة المعلومات,الكلية السودانية للعلوم والتكنولوجيا – ام درمان
702,العلوم الإدارية,الكلية السودانية للعلوم والتكنولوجيا – ام درمان
703,الطب,كلية نبتة - الخرطوم
704,طب الأسنان,كلية نبتة - الخرطوم
705,الصيدلة,كلية نبتة - الخرطوم
706,علوم المختبرات الطبية,كلية نبتة - الخرطوم
707,علوم التمريض,كلية نبتة - الخرطوم
708,علوم الحاسوب,كلية نبتة - الخرطوم
709,تقانة المعلومات,كلية نبتة - الخرطوم
710,العلوم الإدارية,كلية نبتة - الخرطوم
711,الطب والجراحة,كلية الجزيرة للعلوم الطبية والتكنولوجيا - مدنى
712,الصيدلة,كلية الجزيرة للعلوم الطبية والتكنولوجيا - مدنى
713,علوم المختبرات الطبية,كلية الجزيرة للعلوم الطبية والتكنولوجيا - مدنى
714,التمريض,كلية الجزيرة للعلوم الطبية والتكنولوجيا - مدنى
715,العلوم الإدارية,كلية الجزيرة للعلوم الطبية والتكنولوجيا - مدنى
716,تقانة المعلومات,كلية الجزيرة للعلوم الطبية والتكنولوجيا - مدنى
717,هندسة الاتصالات,أكاديمية السودان لعلوم وتكنولوجيا الطيران - الخرطوم
718,هندسة نظم الطيران,أكاديمية السودان لعلوم وتكنولوجيا الطيران - الخرطوم
719,إدارة الحركة الجوية,أكاديمية السودان لعلوم وتكنولوجيا الطيران - الخرطوم
720,إدارة الطيران,أكاديمية السودان لعلوم وتكنولوجيا الطيران - الخرطوم
721,تقانة المعلومات,أكاديمية السودان لعلوم وتكنولوجيا الطيران - الخرطوم
722,الطب البشرى,كلية الفجر للعلوم والتكنلوجيا
723,طب الأسنان,كلية الفجر للعلوم والتكنلوجيا
724,الصيدلة,كلية الفجر للعلوم والتكنلوجيا
725,المختبرات الطبية,كلية الفجر للعلوم والتكنلوجيا
726,علوم التمريض,كلية الفجر للعلوم والتكنلوجيا
727,العلاج الطبيعى,كلية الفجر للعلوم والتكنلوجيا
728,العلوم الإدارية,كلية الفجر للعلوم والتكنلوجيا
729,تقانة المعلومات,كلية الفجر للعلوم والتكنلوجيا
730,العلوم الإدارية,كلية فكتوريا للعلوم والتكنولوجيا - الخرطوم
731,الطب,كلية الحياة
732,طب الأسنان,كلية الحياة
733,الصيدلة,كلية الحياة
734,علوم المختبرات الطبية,كلية الحياة
735,التمريض,كلية الحياة
736,هندسة الاتصالات,كلية الحياة
737,الهندسة الطبية,كلية الحياة
738,الهندسة الكهربائية (انظمة القدرة ),كلية الحياة
739,تقانة المعلومات,كلية الحياة
740,البكالوريوس التقانى فى هندسة الكهرباء والإلكترونيات,كلية انترناشونال للعلوم والتكنولوجيا
741,البكالوريوس التقانى فى هندسة صيانة الطائرات,كلية انترناشونال للعلوم والتكنولوجيا
742,العلوم الإدارية,كلية انترناشونال للعلوم والتكنولوجيا
743,الطب والجراحة,كلية القضارف للعلوم والتكنولوجيا - القضارف
744,المختبرات الطبية,كلية القضارف للعلوم والتكنولوجيا - القضارف
745,الإقتصاد والعلوم والإدارية,كلية القضارف للعلوم والتكنولوجيا - القضارف
746,رياض الاطفال والتربية الخاصة,كلية القضارف للعلوم والتكنولوجيا - القضارف
747,المحاسبة والمراجعة الإلكترونية,كلية المعرفة للعلوم والتكنولوجيا - الخرطوم
748,التامين الآكشورى,كلية المعرفة للعلوم والتكنولوجيا - الخرطوم
749,الإقتصاد,كلية المعرفة للعلوم والتكنولوجيا - الخرطوم
750,إدارة الاعمال,كلية المعرفة للعلوم والتكنولوجيا - الخرطوم
751,الطب والجراحة,كلية الصفا - الخرطوم
752,طب الأسنان,كلية الصفا - الخرطوم
753,الصيدلة,كلية الصفا - الخرطوم
754,العلاج الطبيعي,كلية الصفا - الخرطوم
755,هندسة البرمجيات,كلية رويال للعلوم والتكنولوجيا - الخرطوم
756,تقانة المعلومات,كلية رويال للعلوم والتكنولوجيا - الخرطوم
757,نظم المعلومات,كلية رويال للعلوم والتكنولوجيا - الخرطوم
758,العلوم الإدارية,كلية رويال للعلوم والتكنولوجيا - الخرطوم
760,تقانة المعلومات,كلية المقرن للعلوم والتكنولوجيا - امدرمان
761,العلوم الإدارية,كلية المقرن للعلوم والتكنولوجيا - امدرمان
762,نظم المعلومات المحاسبية,كلية المقرن للعلوم والتكنولوجيا - امدرمان
763,نظم المعلومات الإدارية,كلية المقرن للعلوم والتكنولوجيا - امدرمان
764,نظم المعلومات المصرفية,كلية المقرن للعلوم والتكنولوجيا - امدرمان
765,الطب والجراحة,كلية شمال كردفان - الأبيض
766,علوم التمريض,كلية شمال كردفان - الأبيض
767,العلوم الإدارية,كلية شمال كردفان - الأبيض
768,اللغة الإنجليزية وآدابها,كلية شمال كردفان - الأبيض
769,تقانة المعلومات,كلية شمال كردفان - الأبيض
770,العلوم الإدارية,كلية العلا للعلوم والتكنولوجيا - الخرطوم
771,الإقتصاد,كلية العلا للعلوم والتكنولوجيا - الخرطوم
772,تقانة المعلومات,كلية العلا للعلوم والتكنولوجيا - الخرطوم
773,الطب والجراحة,كلية دار العلوم والتكنولوجيا - الخرطوم
774,علوم المختبرات الطبية,كلية دار العلوم والتكنولوجيا - الخرطوم
775,علوم التمريض,كلية دار العلوم والتكنولوجيا - الخرطوم
776,العلوم الإدارية,كلية دار العلوم والتكنولوجيا - الخرطوم
777,تقانة المعلومات,كلية دار العلوم والتكنولوجيا - الخرطوم
778,الإقتصاد والدراسات المصرفية,كلية دار العلوم والتكنولوجيا - الخرطوم
779,القانون,كلية دار العلوم والتكنولوجيا - الخرطوم
780,الطب والجراحة,كلية إمبريال - الخرطوم
781,طب وجراحة الأسنان,كلية إمبريال - الخرطوم
782,الصيدلة,كلية إمبريال - الخرطوم
783,علوم المختبرات الطبية,كلية إمبريال - الخرطوم
784,علوم التمريض,كلية إمبريال - الخرطوم
785,العلوم الإدارية,كلية إمبريال - الخرطوم
786,القانون,كلية إمبريال - الخرطوم
787,الطب,كلية المدائن للعلوم الطبية والتكنولوجيا - الخرطوم
788,طب وجراحة الأسنان,كلية المدائن للعلوم الطبية والتكنولوجيا - الخرطوم
789,الصيدلة,كلية المدائن للعلوم الطبية والتكنولوجيا - الخرطوم
790,علوم المختبرات الطبية,كلية المدائن للعلوم الطبية والتكنولوجيا - الخرطوم
791,علوم التمريض,كلية المدائن للعلوم الطبية والتكنولوجيا - الخرطوم
792,الهندسة المدنية,كلية المدائن للعلوم الطبية والتكنولوجيا - الخرطوم
793,العلوم الإدارية,كلية المدائن للعلوم الطبية والتكنولوجيا - الخرطوم
794,تقانة المعلومات,كلية المدائن للعلوم الطبية والتكنولوجيا - الخرطوم
795,الشريعة والقانون,كلية النبلاء للعلوم والتكنولوجيا
796,العلوم الإدارية,كلية النبلاء للعلوم والتكنولوجيا
797,تقانة المعلومات,كلية النبلاء للعلوم والتكنولوجيا
798,المختبرات الطبية,الكلية العالمية للعلوم والتكنولوجيا
799,علوم التمريض,الكلية العالمية للعلوم والتكنولوجيا
800,اللغة الإنجليزية,الكلية العالمية للعلوم والتكنولوجيا
801,العلوم الإدارية,الكلية العالمية للعلوم والتكنولوجيا
802,تقانة المعلومات,الكلية العالمية للعلوم والتكنولوجيا
803,الإعلام,الكلية العالمية للعلوم والتكنولوجيا
804,الطب والجراحة,كلية الفارابي للعلوم والتقانة
805,المختبرات الطبية,كلية الفارابي للعلوم والتقانة
806,التمريض,كلية الفارابي للعلوم والتقانة
807,الهندسة الكهربائية,كلية الفارابي للعلوم والتقانة
808,هندسة المعمار,كلية الفارابي للعلوم والتقانة
809,تقانة المعلومات,كلية الفارابي للعلوم والتقانة
810,العلوم الإدارية,كلية الفارابي للعلوم والتقانة
811,الهندسة الكهربائية والإلكترونية,كلية سيتي للعلوم والتكنولوجيا
812,هندسة العماره,كلية سيتي للعلوم والتكنولوجيا
813,الهندسة المدنية,كلية سيتي للعلوم والتكنولوجيا
814,العلوم الإدارية,كلية سيتي للعلوم والتكنولوجيا
815,الطب,كلية طيبة للعلوم والتكنولوجيا
816,الصيدلة,كلية طيبة للعلوم والتكنولوجيا
817,علوم المختبرات الطبية,كلية طيبة للعلوم والتكنولوجيا
818,التمريض,كلية طيبة للعلوم والتكنولوجيا
819,الهندسة الطبية,كلية طيبة للعلوم والتكنولوجيا
820,تقانة المعلومات,كلية طيبة للعلوم والتكنولوجيا
821,العلوم الإدارية,كلية طيبة للعلوم والتكنولوجيا
822,الطب,"كلية المجد للعلوم الطبية والتكنولوجيا - الحصاحيصا 
"
823,علوم المختبرات الطبية,"كلية المجد للعلوم الطبية والتكنولوجيا - الحصاحيصا 
"
824,علوم التمريض,"كلية المجد للعلوم الطبية والتكنولوجيا - الحصاحيصا 
"
825,العلوم الإدارية,"كلية المجد للعلوم الطبية والتكنولوجيا - الحصاحيصا 
"
826,تقانة المعلومات,"كلية المجد للعلوم الطبية والتكنولوجيا - الحصاحيصا 
"
827,الطب والجراحة,كلية الرياض العالمية - الخرطوم
828,طب الأسنان,كلية الرياض العالمية - الخرطوم
829,الصيدلة,كلية الرياض العالمية - الخرطوم
830,علوم المختبرات الطبية,كلية الرياض العالمية - الخرطوم
831,علوم التمريض,كلية الرياض العالمية - الخرطوم
832,تقانة المعلومات,كلية الرياض العالمية - الخرطوم
833,الإقتصاد,كلية غبيش للعلوم والتكنولوجيا - غبيش
834,العلوم الإدارية,كلية غبيش للعلوم والتكنولوجيا - غبيش
835,تقانة المعلومات,كلية غبيش للعلوم والتكنولوجيا - غبيش
836,القانون,كلية غبيش للعلوم والتكنولوجيا - غبيش
837,تقانة المعلومات,كلية خورطقت - الابيض
838,العلوم الإدارية ( ادارة الاعمال – المحاسبة),كلية خورطقت - الابيض
839,القانون,كلية خورطقت - الابيض
840,الطب,كلية زمزم - الخرطوم
